tag_name,2023.0,2024.0,2025.0
html,28784,13809,1681
reactjs,41523,21220,2525
python,112901,60112,7847
css,22764,11238,1502
flutter,22671,14053,1915
java,39462,21090,3282
typescript,22514,13078,1863
r,27425,13259,1621
android,25507,18323,2749
c#,39246,23472,3257
c++,20511,13338,2153
javascript,72784,34761,4097
